,i,year,month,acyear,title,category,inst,instclass,url
2864,2864,2012,10,2012,Vaidya-Raychaudhuri Post-Doctoral Fellowships - JRID42920,Post-doctoral Positions and Fellowships,Inter-University Centre for Astronomy and Astrophysics,Government Agency,../job_view?JobID=42920
2865,2865,2009,11,2009,Interdepartmental Postdoctoral Fellowship in Geosciences at Yale University - JRID35397,Post-doctoral Positions and Fellowships,Yale University,Large Academic,../job_view?JobID=35397
2866,2866,2009,10,2009,Post-Doctoral Position in Physical Cosmology - JRID35394,Post-doctoral Positions and Fellowships,Los Alamos National Laboratory,Research Laboratory,../job_view?JobID=35394
2867,2867,2009,11,2009,Director of Quantitative Reasoning - JRID35391,Other,Quest University Canada,Foreign,../job_view?JobID=35391
2868,2868,2012,6,2012,Postdoctoral Positions in Cosmology and Gravitational Lensing - JRID41974,Post-doctoral Positions and Fellowships,University of Bologna,Foreign,../job_view?JobID=41974
2869,2869,2013,12,2013,Subaru Senior Instrumentation Engineer – ID# 13688 - JRID46918,Science Engineering,Research Corporation of the University of Hawaii,Government Agency,../job_view?JobID=46918
2870,2870,2013,12,2013,Postdoctoral Research Associate in Galaxy Evolution - JRID46915,Post-doctoral Positions and Fellowships,Leiden Observatory,Large Academic,../job_view?JobID=46915
2871,2871,2013,10,2013,Exoplanet Postdoctoral Scholar at the NASA Exoplanet Science Institute - JRID45781,Post-doctoral Positions and Fellowships,NASA Exoplanet Science Institute/California Institute of Technology,Small Academic,../job_view?JobID=45781
2872,2872,2010,9,2010,UT Austin Prize Postdoctoral Fellowship - JRID37398,Post-doctoral Positions and Fellowships,University of Texas at Austin,Large Academic,../job_view?JobID=37398
2873,2873,2015,3,2014,"“La Caixa - Severo Ochoa” predoctoral positions in Theoretical and Experimental Particle Physics, Astroparticle Physics, Cosmology and Instrumentation R&amp;D at IFAE Barcelona - JRID50605",Pre-doctoral/Graduate Positions,"Institut de Física d'Altes Energies (IFAE), Barcelona",Foreign,../job_view?JobID=50605
2874,2874,2012,12,2012,2013 Carnegie Observatories Graduate Research Fellowship - JRID43859,Pre-doctoral/Graduate Positions,Carnegie Observatories,Research Laboratory,../job_view?JobID=43859
2875,2875,2009,12,2009,POSTDOCTORAL SCHOLAR IN COSMOLOGY AND LARGE SCALE-STRUCTURE - JRID35820,Post-doctoral Positions and Fellowships,"UNIVERSITY OF CALIFORNIA, IRVINE",Foreign,../job_view?JobID=35820
2876,2876,2009,12,2009,Herschel Postdoctoral Research Position - JRID35823,Post-doctoral Positions and Fellowships,Jet Propulsion Laboratory,Other,../job_view?JobID=35823
2877,2877,2008,12,2008,Postdoctoral Position in Extragalactic Observational Astronomy - JRID33438,Post-doctoral Positions and Fellowships,University of Massachusetts / Amherst,Large Academic,../job_view?JobID=33438
2878,2878,2013,4,2012,Lecturer position in Astrophysics at the University of Exeter - JRID44782,Faculty Positions (tenure and tenure-track),University of Exeter,Large Academic,../job_view?JobID=44782
2879,2879,2009,12,2009,POSTDOCTORAL RESEARCH POSITION IN EXTRASOLAR PLANETS - JRID35826,Post-doctoral Positions and Fellowships,Penn State University,Large Academic,../job_view?JobID=35826
2880,2880,2008,12,2008,High Precision Radial Velocity for Super-Earth Detection - JRID33435,Post-doctoral Positions and Fellowships,Haute Provence Observatory,Research Laboratory,../job_view?JobID=33435
2881,2881,2008,12,2008,Extragalactic Research - JRID33432,Pre-doctoral/Graduate Positions,Instituto Radioastronomia Milimetrica (I,Research Laboratory,../job_view?JobID=33432
2882,2882,2004,12,2004,FACULTY POSTIONS IN ASTROPHYSICS AND COSMOLOGY - JRID23535,TT,NEW YORK UNIVERSITY,Large Academic,../job_view?JobID=23535
2883,2883,2005,3,2004,Postdoctoral Research Fellow - JRID24216,PostV,California Institute of Technology,Small Academic,../job_view?JobID=24216
2884,2884,2003,6,2003,Multi-wavelength emission of Active Galactic Nuclei - JRID20247,PostV,INAF - Osservatorio Astrofisico di Arcet,Foreign,../job_view?JobID=20247
2885,2885,2003,10,2003,Michelson Postdoctoral Fellow - JRID20934,PostV,NASA/Michelson Science Center - Californ,Small Academic,../job_view?JobID=20934
2886,2886,2003,10,2003,"Assistant, Associate or Full Astronomer - Solar Astronomy - JRID20937",TT,"University of Hawaii, Institute for Astr",Large Academic,../job_view?JobID=20937
2887,2887,2003,6,2003,Postdoctoral Research Position in Experimental Astronomy - JRID20244,PostV,Cornell University,Large Academic,../job_view?JobID=20244
2888,2888,2003,10,2003,Postdoctoral Researcher: Narrow-line Seyfert 1 Galaxies - JRID20931,PostV,The University of Oklahoma,Large Academic,../job_view?JobID=20931
2889,2889,2003,6,2003,Lectureship in Astronomy and Astrophysics - JRID20241,Other,University of Warwick,Large Academic,../job_view?JobID=20241
2890,2890,2015,10,2015,2016 Tsinghua postdoctoral associates - JRID52049,Post-doctoral Positions and Fellowships,"Institute of Astrophysics, Department of Physics, Tsinghua University",Other,../job_view?JobID=52049
2891,2891,2008,4,2007,Hobby-Eberly Telescope Site Manager - JRID31494,MngOth,McDonald Observatory,Other,../job_view?JobID=31494
2892,2892,2005,3,2004,Postdoctoral Position in Extragalactic Astronomy - JRID24210,Rsrch,University of Wyoming,Large Academic,../job_view?JobID=24210
2893,2893,2008,4,2007,Postdoctoral position in high energy gamma-ray astrophysics - JRID31497,Post-doctoral Positions and Fellowships,Laboratoire d'Astrophysique de Grenoble,Foreign,../job_view?JobID=31497
2894,2894,2012,11,2012,Two post-doctoral positions in infrared interferometry - JRID43521,Post-doctoral Positions and Fellowships,Max Planck Institute for Radio Astronomy,Research Laboratory,../job_view?JobID=43521
2895,2895,2008,4,2007,Joint Postdoctoral Position with Australia Telescope National Facility and Universidad de Chile on Star Formation - JRID31491,Post-doctoral Positions and Fellowships,Universidad de Chile,Foreign,../job_view?JobID=31491
2896,2896,2012,12,2012,Research Associate in Low-frequency HI Foregrounds - JRID43831,Faculty Positions (visiting and non-tenure),The University of Manchester,Large Academic,../job_view?JobID=43831
2897,2897,2015,6,2015,Science Flight Planner (280-500) - JRID51167,Science Engineering,Universities Space Research Association,Industry,../job_view?JobID=51167
2898,2898,2006,9,2006,Experimental and Theoretical Postdoctoral Research Associates - JRID27231,PostV,Stanford Linear Accelerator Center,Large Academic,../job_view?JobID=27231
2899,2899,2014,12,2014,"Posdoctoral position in  theoretical/computational extra-galactic astronomy at the Institut d’Astrophysique de Paris (IAP), France - JRID49751",Post-doctoral Positions and Fellowships,Institut d'Astrophysique de Paris,Research Laboratory,../job_view?JobID=49751
2900,2900,2006,9,2006,NRAO EVLA Postdoctoral Position - JRID27237,PostV,National Radio Astronomy Observatory,Other,../job_view?JobID=27237
2901,2901,2006,9,2006,Postdoctoral Researchers in Observational Galaxy Evolution - JRID27234,PostV,NOAO,Other,../job_view?JobID=27234
2902,2902,2005,3,2004,Visting Professor of Astronomy - JRID24213,NTT,Pomona College,Small Academic,../job_view?JobID=24213
2903,2903,2013,1,2012,Research Associate (John Stocker Fellow): star-formation in intermediate mass halos - JRID44439,Post-doctoral Positions and Fellowships,University of Western Australia (ICRAR),Large Academic,../job_view?JobID=44439
2904,2904,2013,1,2012,Postdoctoral Position in Computational Star formation - JRID44436,Post-doctoral Positions and Fellowships,"Monash Centre for Astrophysics, Monash University",Foreign,../job_view?JobID=44436
2905,2905,2016,3,2015,Assistant Professor Astronomy - JRID53708,Faculty Positions (tenure and tenure-track),University of North Georgia,Large Academic,../job_view?JobID=53708
2906,2906,2013,2,2012,Postdoctoral Position in Supernova Studies - JRID44430,Post-doctoral Positions and Fellowships,Harvard College Observatory,Large Academic,../job_view?JobID=44430
2907,2907,2005,1,2004,Software Engineers - JRID23913,RsrchSp,The Institute of Astronomy and Astrophys,Foreign,../job_view?JobID=23913
2908,2908,2005,1,2004,Postdoctoral Position in Cosmology - JRID23910,PostV,University of Melbourne,Foreign,../job_view?JobID=23910
2909,2909,2005,1,2004,Postdoc position in cosmology (dark energy) - JRID23916,PostV,"Institute of theoretical astrophysics, U",Foreign,../job_view?JobID=23916
2910,2910,2015,10,2015,Tenure-track Assistant Professor Level Faculty Position in Theoretical Studies of the Early Universe - JRID52041,Faculty Positions (tenure and tenure-track),"University of California, Riverside",Large Academic,../job_view?JobID=52041
2911,2911,2010,1,2009,Analysis and interpretation of Planck Data at  IAP - JRID36141,Post-doctoral Positions and Fellowships,Institut d'Astrophysique de Paris / IAP,Research Laboratory,../job_view?JobID=36141
2912,2912,2005,1,2004,Quantitative Financial Analyst - JRID23919,Other,Waterfront International Ltd,Other,../job_view?JobID=23919
2913,2913,2010,1,2009,Post Doctoral Opportunity: Optical Sciences - JRID36147,Post-doctoral Positions and Fellowships,Lawrence Livermore National Laboratory,Government Agency,../job_view?JobID=36147
2914,2914,2010,1,2009,"Postdoctoral fellowship in Exoplanets : transiting exoplanets from space, Laboratoire d'Astrophysique de Marseille, France - JRID36144",Post-doctoral Positions and Fellowships,Laboratoire d'astrophysique de Marseille,Foreign,../job_view?JobID=36144
2915,2915,2012,11,2012,Visiting Assistant Professor in Astronomy at Macalester College - JRID43789,Faculty Positions (visiting and non-tenure),Macalester College,Small Academic,../job_view?JobID=43789
2916,2916,2015,10,2015,Postdoctoral Research Position in Big Data and Cosmology - JRID52044,Post-doctoral Positions and Fellowships,"University of California, Riverside/Jet Propulsion Laboratory, Pasadena",Large Academic,../job_view?JobID=52044
2917,2917,2012,12,2012,Columbia University Science Fellows in Frontiers of Science - JRID43783,Faculty Positions (visiting and non-tenure),Columbia University,Large Academic,../job_view?JobID=43783
2918,2918,2012,11,2012,Postdoctoral position in galaxy clusters - JRID43787,Post-doctoral Positions and Fellowships,University of Chile,Large Academic,../job_view?JobID=43787
2919,2919,2015,7,2015,POSDOCTORAL POSITION IN Observatorio Astronomico Nacional (OAN) - JRID51290,Post-doctoral Positions and Fellowships,"Institute of Astronomy, UNAM (Ensenada)",Government Agency,../job_view?JobID=51290
2920,2920,2015,7,2015,PhD in X-ray Astrophysics - JRID51293,Pre-doctoral/Graduate Positions,"SRON, Netherlands Institute for Space Research",Research Laboratory,../job_view?JobID=51293
2921,2921,2004,3,2003,Scientist - JRID22068,Rsrch,Jet Propulsion Laboratory,Research Laboratory,../job_view?JobID=22068
2922,2922,2015,7,2015,Reader/Senior Lecturer (Associate Professor)/Lecturer (Assistant Professor) in Theoretical or Computational Astrophysics - JRID51296,Faculty Positions (tenure and tenure-track),University of Bath,Large Academic,../job_view?JobID=51296
2923,2923,2004,4,2003,Millimeter Detector Arrays - JRID22065,Rsrch,Goddard Space Flight Center,Government Agency,../job_view?JobID=22065
2924,2924,2004,3,2003,Postdoctoral Research Associate in Interferometry Instrumentation - JRID22062,PostV,New Mexico Institute of Mining and Techn,Small Academic,../job_view?JobID=22062
2925,2925,2014,1,2013,Harvard-MIT Postdoctoral Fellowship - JRID47200,Post-doctoral Positions and Fellowships,"Harvard-Smithsonian Center for Astrophysics, MIT",Large Academic,../job_view?JobID=47200
2926,2926,2014,1,2013,KIAA Postdoctoral Research Associate - JRID47203,Post-doctoral Positions and Fellowships,"Kavli Institute for Astronomy and Astrophysics, Peking University",Large Academic,../job_view?JobID=47203
2927,2927,2014,2,2013,"Postdoctoral researcher in theoretical cosmology, University of Edinburgh - JRID47669",Post-doctoral Positions and Fellowships,"Institute for Astronomy, University of Edinburgh",Large Academic,../job_view?JobID=47669
2928,2928,2014,1,2013,Research Scientist - JRID47208,Scientific/Technical Staff,NCSA/U of I,Large Academic,../job_view?JobID=47208
2929,2929,2016,2,2015,Instrumentation Scientist - JRID53663,Scientific/Technical Staff,GMTO Corporation,Industry,../job_view?JobID=53663
2930,2930,2015,10,2015,Postdoctoral Researcher in Radio Astronomy - JRID52123,Post-doctoral Positions and Fellowships,"ASTRON, Netherlands institute for Radio Astronomy",Foreign,../job_view?JobID=52123
2931,2931,2007,8,2007,Assistant / Associate / Full Professor of Solar Physics - JRID29322,TT,ETH Zurich,Foreign,../job_view?JobID=29322
2932,2932,2006,2,2005,Postdoctoral and Senior Research Awards in the Space and Planetary Sciences - JRID26181,PostV,National Research Council of the Nationa,Other,../job_view?JobID=26181
2933,2933,2006,3,2005,Staff Scientists - JRID26187,Rsrch,California Institute of Technology,Small Academic,../job_view?JobID=26187
2934,2934,2006,3,2005,Postdoctoral Research Fellow - Astrophysics - JRID26184,PostV,Institute for Astrophysical Research - B,Large Academic,../job_view?JobID=26184
2935,2935,2007,8,2007,Data Mining Analyst - JRID29328,Other,Waterfront International Ltd,Industry,../job_view?JobID=29328
2936,2936,2010,6,2010,Murchison Widefield Array Solar and Heliospheric Super Science (REF: 1431) - JRID36825,Post-doctoral Positions and Fellowships,International Centre for Radio Astronomy,Foreign,../job_view?JobID=36825
2937,2937,2015,1,2014,Postdoctoral Research Fellow in Radio Astronomy (Extragalactic Star Formation) - JRID50284,Post-doctoral Positions and Fellowships,University of Hertfordshire,Foreign,../job_view?JobID=50284
2938,2938,2015,10,2015,Endowed Chair Faculty Position in Astronomy/Astrophysics - JRID51836,Other,University of Oklahoma - Norman,Other,../job_view?JobID=51836
2939,2939,2015,10,2015,PhD position at the Leibniz Graduate School for Quantitative Spectroscopy in Astrophysics - JRID51831,Pre-doctoral/Graduate Positions,University of Potsdam and Leibniz-Institute for Astrophysics Potsdam (AIP),Large Academic,../job_view?JobID=51831
2940,2940,2015,9,2015,"Engineer - iLocater Project - Department of Physics, University of Notre Dame - JRID51833",Scientific/Technical Staff,"University of Notre Dame, Department of Physics",Small Academic,../job_view?JobID=51833
2941,2941,2014,10,2014,Tenure track Assistant Professor in Astronomy - JRID48925,Faculty Positions (tenure and tenure-track),"University of Nevada, Las Vegas - UNLV",Large Academic,../job_view?JobID=48925
2942,2942,2014,10,2014,CCAPP Postdoctoral Fellows - JRID48921,Post-doctoral Positions and Fellowships,"Center for Cosmology and AstroParticle Physics (CCAPP), The Ohio State University",Other,../job_view?JobID=48921
2943,2943,2014,10,2014,Associate Staff Scientist / Staff Scientist - JRID48923,Scientific/Technical Staff,Stanford University / SLAC National Accelerator Laboratory,Research Laboratory,../job_view?JobID=48923
2944,2944,2007,1,2006,Computational Astrophysics/Cosmology - JRID28320,TT,School of Computational Science at Flori,Large Academic,../job_view?JobID=28320
2945,2945,2016,1,2015,LEAPS Undergraduate Research Program at Leiden Observatory  - JRID53291,Pre-doctoral/Graduate Positions,Leiden Observatory,Large Academic,../job_view?JobID=53291
2946,2946,2014,10,2014,Lindheimer Postdoctoral Fellowship at Northwestern University - JRID49017,Post-doctoral Positions and Fellowships,The Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA) at Northwestern University,Large Academic,../job_view?JobID=49017
2947,2947,2015,10,2015,Postdoctoral Position in Computational Galaxy Evolution - JRID52080,Post-doctoral Positions and Fellowships,"University of Zurich, Switzerland",Foreign,../job_view?JobID=52080
2948,2948,2006,4,2005,Telescope Optics Group Leader - JRID26367,Rsrch,Thirty Meter Telescope,Other,../job_view?JobID=26367
2949,2949,2008,11,2008,Lecturer in Cosmology - JRID32910,Faculty Positions (tenure and tenure-track),University College London (UCL),Foreign,../job_view?JobID=32910
2950,2950,2010,9,2010,Science Fellow - JRID37431,Post-doctoral Positions and Fellowships,Gemini Observatory,Government Agency,../job_view?JobID=37431
2951,2951,2008,11,2008,"PostDoc, Software engineer and Programmer for the Astronomical Multipurpose Software Environment - JRID32913",Other,University of Amsterdam,Large Academic,../job_view?JobID=32913
2952,2952,2010,9,2010,Gemini Scientist - JRID37434,Scientific/Technical Staff,Gemini Observatory,Government Agency,../job_view?JobID=37434
2953,2953,2008,11,2008,Postdoctoral Position in Exosolar Planet High-Contrast Imaging - JRID32916,Post-doctoral Positions and Fellowships,Princeton University,Large Academic,../job_view?JobID=32916
2954,2954,2010,9,2010,PhD Program in Astrochemistry in The Netherlands - JRID37437,Pre-doctoral/Graduate Positions,Netherlands Organisation for Scientific,Government Agency,../job_view?JobID=37437
2955,2955,2008,11,2008,Postdoctoral Research Fellow - JRID32919,Faculty Positions (visiting and non-tenure),The Adler Planetarium,Planetarium,../job_view?JobID=32919
2956,2956,2014,9,2014,Postdoctoral Position in Stellar Astrophysics  - JRID48696,Post-doctoral Positions and Fellowships,Kavli Institute for Theoretical Physics,Large Academic,../job_view?JobID=48696
2957,2957,2014,9,2014,Clay Postdoctoral Fellowship 2015 - JRID48694,Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Other,../job_view?JobID=48694
2958,2958,2014,9,2014,CfA Postdoctoral Fellowship 2015 - JRID48692,Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Other,../job_view?JobID=48692
2959,2959,2016,2,2015,Postdoctoral Position in Interstellar/Circumstellar Dust - JRID53477,Post-doctoral Positions and Fellowships,Beijing Normal University,Foreign,../job_view?JobID=53477
2960,2960,2003,11,2003,Postdoc in stellar astrophysics (pulsating stars) - JRID21321,PostV,Southwest Missouri State University,Large Academic,../job_view?JobID=21321
2961,2961,2007,1,2006,"Research fellowships, Postdoctoral- and Doctoral Positions in Astrophysics and Cosmology -- The Munich/Garching Cluster of Excellence - JRID28491",PostV,"Munich Universities (TU and LMU), Max-Pl",Large Academic,../job_view?JobID=28491
2962,2962,2003,11,2003,Postdoctoral Position in Galaxy Cluster Research - JRID21327,PostV,Rutgers University,Large Academic,../job_view?JobID=21327
2963,2963,2007,1,2006,Associate Director for Engineering - JRID28497,MngOth,Gemini Observatory,Other,../job_view?JobID=28497
2964,2964,2007,1,2006,Tenure-Track Theoretical Physicist (Collider Physics / Particle Astrophysics / Cosmology) - JRID28494,TT,York University,Large Academic,../job_view?JobID=28494
2965,2965,2003,11,2003,Tenure Track Faculty Position in Astronomy - JRID21324,TT,"Dept. of Astronomy, University of Guanaj",Other,../job_view?JobID=21324
2966,2966,2013,3,2012,Postdoctoral Research Assistant in Supernovae and other Time-Domain Astronomy with Euclid - JRID44679,Post-doctoral Positions and Fellowships,University of Oxford,Large Academic,../job_view?JobID=44679
2967,2967,2012,5,2011,Postdoctoral Research Associate in Cosmology - JRID42074,Post-doctoral Positions and Fellowships,The Open University,Large Academic,../job_view?JobID=42074
2968,2968,2013,10,2013,"Independent Fellowships at the Dark Cosmology Centre, Niels Bohr Institute, University of Copenhagen - JRID46008",Post-doctoral Positions and Fellowships,"Dark Cosmology Centre at the Niels Bohr Institutet, Copenhagen",Other,../job_view?JobID=46008
2969,2969,2012,5,2011,Professor or Associate Professor in Astrophysics at the University of Exeter - JRID42077,Faculty Positions (tenure and tenure-track),University of Exeter,Large Academic,../job_view?JobID=42077
2970,2970,2013,11,2013,Postdoctoral Research Scientist in Exoplanet Science - JRID46553,Post-doctoral Positions and Fellowships,Columbia University,Large Academic,../job_view?JobID=46553
2971,2971,2013,11,2013,Postdoctoral Fellow at National Astronomical Observatory of Japan - JRID46002,Post-doctoral Positions and Fellowships,National Astronomical Observatory of Japan,Foreign,../job_view?JobID=46002
2972,2972,2014,8,2014,Research Fellow position in optical transients - JRID48551,Post-doctoral Positions and Fellowships,Monash University,Large Academic,../job_view?JobID=48551
2973,2973,2008,12,2008,Software Support Specialist in Astronomy - JRID33390,Scientific/Technical Staff,California Institute of Technology,Small Academic,../job_view?JobID=33390
2974,2974,2008,12,2008,Postdoctoral Scholar - JRID33393,Post-doctoral Positions and Fellowships,California Institute of Technology,Small Academic,../job_view?JobID=33393
2975,2975,2010,12,2010,Postdoctoral Fellow - JRID38664,Post-doctoral Positions and Fellowships,National Radio Astronomy Observatory,Other,../job_view?JobID=38664
2976,2976,2008,12,2008,ASTRON / JIVE Summer Students Programme 2009 - JRID33396,Other,ASTRON,Foreign,../job_view?JobID=33396
2977,2977,2008,12,2008,Post-doctoral position in protoplanetary disks studies - JRID33399,Post-doctoral Positions and Fellowships,Ecole Normale Sup,Foreign,../job_view?JobID=33399
2978,2978,2009,4,2008,CONICYT-GEMINI POSTDOCTORAL POSITION - JRID34164,Post-doctoral Positions and Fellowships,"CONICYT,National Commission for Scientif",Foreign,../job_view?JobID=34164
2979,2979,2009,4,2008,Postdoctoral Scholar in High-Energy Gamma-Ray Astrophysics with the Fermi Gamma-ray Space Telescope - JRID34161,Post-doctoral Positions and Fellowships,"University of California, Santa Cruz",Foreign,../job_view?JobID=34161
2980,2980,2007,10,2007,Postdoctoral Position in Relativistic Astrophysics - JRID29811,PostV,University of Illinois at Urbana-Champai,Large Academic,../job_view?JobID=29811
2981,2981,2007,10,2007,TENURE TRACK ASTROPHYSICS ASSISTANT PROFESSOR - JRID29814,TT,Washington State University,Large Academic,../job_view?JobID=29814
2982,2982,2007,10,2007,Extragalactic Astronomy/Cosmology Faculty - JRID29817,TT,"University of Michigan, Department of As",Large Academic,../job_view?JobID=29817
2983,2983,2015,9,2015,Post Doc - JRID51562,Post-doctoral Positions and Fellowships,National Radio Astronomy Observatory,Other,../job_view?JobID=51562
2984,2984,2014,8,2014,NAOJ Associate Professor for ALMA receiver development (Tokyo-based) - JRID48553,Faculty Positions (tenure and tenure-track),National Astronomical Observatory of Japan (NAOJ),Foreign,../job_view?JobID=48553
2985,2985,2012,9,2012,Postdoctoral Research Fellows and Associates in the Planet and Star Formation Department at the Max-Planck-Institute for Astronomy (MPIA) in Heidelberg - JRID42690,Post-doctoral Positions and Fellowships,Max-Planck-Institute for Astronomy,Large Academic,../job_view?JobID=42690
2986,2986,2012,9,2012,Postdoctoral position in X-ray AGN/black hole research with Astro-H - JRID42692,Post-doctoral Positions and Fellowships,Saint Mary's University,Small Academic,../job_view?JobID=42692
2987,2987,2011,2,2010,Research Position in Astrophysics - JRID38997,Post-doctoral Positions and Fellowships,CENTRA - Instituto Superior Tecnico,Foreign,../job_view?JobID=38997
2988,2988,2012,9,2012,"Postdoctoral Positions, Department of Astrophysical Sciences, Princeton University - JRID42698",Post-doctoral Positions and Fellowships,Princeton University,Small Academic,../job_view?JobID=42698
2989,2989,2011,4,2010,Postdoctoral Fellow in Multi-wavelength Astronomy - University of Cape Town   - JRID39281,Post-doctoral Positions and Fellowships,University of Cape Town,Foreign,../job_view?JobID=39281
2990,2990,2011,4,2010,Post-doctoral position in the field of interstellar medium and astrochemistry - JRID39283,Post-doctoral Positions and Fellowships,Observatoire de Paris and Ecole Normale Supérieure,Large Academic,../job_view?JobID=39283
2991,2991,2014,10,2014,MIT Kavli Fellowship for Research in Astrophysics - JRID49116,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology,Large Academic,../job_view?JobID=49116
2992,2992,2011,4,2010,The South African Research Chairs Initiative (SARChI) Chair in Astrophysics and Space Physics (Position number: PC09216) - JRID39287,Faculty Positions (tenure and tenure-track),North-West University,Foreign,../job_view?JobID=39287
2993,2993,2011,6,2011,PHD position in Astrochemistry - JRID39538,Pre-doctoral/Graduate Positions,Kapteyn Astronomical Institute,Research Laboratory,../job_view?JobID=39538
2994,2994,2011,8,2011,Telescope Opto-Mechanical Engineer - JRID39826,Science Engineering,GMTO Corporation,Other,../job_view?JobID=39826
2995,2995,2011,8,2011,"Postdoctoral Researchers in Galaxy Evolution, Radio Interferometry and Theoretical Cosmology  (3 positions) - JRID39820",Post-doctoral Positions and Fellowships,"Institute of Cosmology and Gravitation, University of Portsmouth",Large Academic,../job_view?JobID=39820
2996,2996,2011,8,2011,Telescope Controls Engineer - JRID39823,Science Engineering,GMTO,Other,../job_view?JobID=39823
2997,2997,2012,1,2011,Physicist Postdoctoral Fellow – Dark Matter Experiment  - JRID41529,Post-doctoral Positions and Fellowships,Lawrence Berkeley National Laboratory,Research Laboratory,../job_view?JobID=41529
2998,2998,2014,10,2014,Assistant Professor - JRID49010,Faculty Positions (tenure and tenure-track),Mississippi State University,Large Academic,../job_view?JobID=49010
2999,2999,2010,12,2010,"Staff Astronomers and Research Associate - catalogs, optical, and infrared - JRID38484",Scientific/Technical Staff,"US Naval Observatory, Flagstaff Station",Government Agency,../job_view?JobID=38484
3000,3000,2011,12,2011,MultiDark Postdoctoral Position in Cosmology - JRID41254,Post-doctoral Positions and Fellowships,Institute for Theoretical Physics (IFT-UAM/CSIC),Research Laboratory,../job_view?JobID=41254
3001,3001,2009,8,2009,Research Scientist and Lecturer Position in Theoretical Astrophysics - JRID34701,Post-doctoral Positions and Fellowships,"Center of Astronomy and Astrophysics, Te",Foreign,../job_view?JobID=34701
3002,3002,2010,12,2010,Postdoctoral Research Position in Gravitational Wave Astrophysics - JRID38487,Post-doctoral Positions and Fellowships,University of Melbourne,Large Academic,../job_view?JobID=38487
3003,3003,2009,8,2009,VLBI Radio Astronomy - JRID34707,Post-doctoral Positions and Fellowships,MIT (Haystack Observatory),Large Academic,../job_view?JobID=34707
3004,3004,2010,12,2010,Postdoctoral Position in Astrophysics - JRID38481,Post-doctoral Positions and Fellowships,North Carolina State University,Large Academic,../job_view?JobID=38481
3005,3005,2009,8,2009,Research Scientist and Lecturer Position in Theoretical Astrophysics (Interstellar Medium) - JRID34704,Post-doctoral Positions and Fellowships,"Center of Astronomy and Astrophysics, Te",Foreign,../job_view?JobID=34704
3006,3006,2011,5,2010,Two postdoctoral fellowships in Astrophysics - JRID39465,Post-doctoral Positions and Fellowships,"Finnish Centre for Astronomy with ESO (FINCA), University of Turku, Finland",Foreign,../job_view?JobID=39465
3007,3007,2007,11,2007,PS1 Science Consortium Postdoctoral Researcher #ID27603 - JRID30405,PostV,Research Corporation of the University o,Government Agency,../job_view?JobID=30405
3008,3008,2008,4,2007,Faculty Position in High Energy Density Physics - JRID31392,Faculty Positions (tenure and tenure-track),University of Rochester,Foreign,../job_view?JobID=31392
3009,3009,2008,4,2007,Assistant or Associate Professor of Physics - JRID31395,Faculty Positions (tenure and tenure-track),University of the Virgin Islands,Small Academic,../job_view?JobID=31395
3010,3010,2008,4,2007,Instrument scientist in high-energy astrophysics - JRID31398,TT,"SRON, Netherlands Institute for Space Re",Foreign,../job_view?JobID=31398
3011,3011,2007,12,2007,Software Engineer - JRID30669,Other,California Institute of Technology,Large Academic,../job_view?JobID=30669
3012,3012,2011,8,2011,Two postdoctoral positions in signal processing/data analysis for radio transients - JRID39758,Post-doctoral Positions and Fellowships,CEA Saclay,Large Academic,../job_view?JobID=39758
3013,3013,2015,1,2014,Post-doctoral fellowship on Galactic archaeology with Gaia and the Gaia-ESO Survey - JRID50176,Post-doctoral Positions and Fellowships,"Observatoire de la Côte d'Azur (Nice, France)",Foreign,../job_view?JobID=50176
3014,3014,2011,5,2010,"PhD fellowships at SIM – Laboratory for Systems, Instrumentation and Modeling in Science and Technology for Space and the Environment - JRID39463",Pre-doctoral/Graduate Positions,"Laboratory for Systems, Instrumentation and Modeling in Science and Technology for Space and the Environment",Research Laboratory,../job_view?JobID=39463
3015,3015,2007,12,2007,"Scientific Software Developer at the Max-Planck-Institut fuer Astrophysik in the framework of LOFAR, a radio astronomy project - JRID30660",Other,Max-Planck-Institut fuer Astrophysik,Foreign,../job_view?JobID=30660
3016,3016,2011,8,2011,Systems Engineer - JRID39752,Science Engineering,GMTO Corporation,Other,../job_view?JobID=39752
3017,3017,2007,12,2007,Assistant Professor of Astronomy and Physics - JRID30663,TT,Illinois Wesleyan University,Small Academic,../job_view?JobID=30663
3018,3018,2011,10,2011,Benoziyo Prize Postdoctoral Fellowship in Astrophysics - JRID40120,Post-doctoral Positions and Fellowships,Weizmann Institute of Science,Large Academic,../job_view?JobID=40120
3019,3019,2007,12,2007,Faculty Position in Physics and Astronomy - JRID30666,TT,Brigham Young University,Large Academic,../job_view?JobID=30666
3020,3020,2014,5,2013,POSDOCTORAL RESEARCH ASSOSCIATE IN OBSERVATIONAL ASTROPHYSICS/ INSTRUMENTATION - JRID48071,Post-doctoral Positions and Fellowships,University of Sydney,Large Academic,../job_view?JobID=48071
3021,3021,2003,10,2003,Faculty Positions in Physics - JRID20748,TT,"University of California, Berkeley",Large Academic,../job_view?JobID=20748
