,i,year,month,acyear,title,category,inst,instclass,url,country
0,0,2018,2,2017,"PhD scholarships in astrophysics at the International Centre for Radio Astronomy Research, UWA",Pre-doctoral/Graduate Positions,"International Centre for Radio Astronomy Research (ICRAR), The University of Western Australia",Large Academic,/ad/b551516c,Australia
1,1,2018,12,2018,One Postdoctoral Contract Galaxy Morphology for the Euclid Mission and Supercomputing 2018,Post-doctoral Positions and Fellowships,INSTITUTO DE ASTROF̍SICA DE CANARIAS,Government Agency,/ad/af34413e,Spain
2,2,2017,1,2016,Postdoctoral Position in X-ray Astronomy ,Post-doctoral Positions and Fellowships,Observatoire Astronomique de Strasbourg,Large Academic,/ad/9b422a4a,France
3,3,2017,11,2017,Archive Scientist,Scientific/Technical Staff,Space Telescope Science Institute,Other,/ad/44200a3f,United States of America
4,4,2017,10,2017,Postdoctoral position in IGM Cosmology,Post-doctoral Positions and Fellowships,"University of California, Riverside",Large Academic,/ad/8283c587,United States of America
5,5,2016,10,2016,Postdoctoral Position in Experimental Cosmology,Post-doctoral Positions and Fellowships,Yale University,Large Academic,/ad/e88829c8,United States of America
6,6,2019,4,2018,"Program Officer, Natural Sciences",Other,John Templeton Foundation,Other,/ad/1eb59575,United States of America
7,7,2018,10,2018,Kim B &amp; Stephen E Bepler Chair in Physics,Faculty Positions (tenure and tenure-track),Fordham University,Large Academic,/ad/7b0e5020,United States of America
8,8,2017,11,2017,Two postdoctoral positions - MeerKAT Fornax Survey - INAF,Post-doctoral Positions and Fellowships,INAF - Cagliari Astronomical Observatory,Foreign,/ad/d37a2306,Italy
9,9,2019,3,2018,Postdoctoral Research Associate in AGN feedback and Integral Field Spectroscopy,Post-doctoral Positions and Fellowships,University of Sydney,Large Academic,/ad/c67e1d47,Australia
10,10,2018,7,2018,Astronomer / Scientist,Scientific/Technical Staff,AURA/NSO,Other,/ad/bcf76173,United States of America
11,11,2018,1,2017,ASTRO-3D Postdoctoral Fellow in Galactic Archaeology,Post-doctoral Positions and Fellowships,The Australian National University,Large Academic,/ad/ac864165,Australia
12,12,2016,6,2016,Specially-Appointed Researcher at the NAOJ Chile Observatory,Post-doctoral Positions and Fellowships,NAOJ,Foreign,/ad/b31de232,Japan
